Rk,Player,Age,Team_adv,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,RookieSeason,Team_sl,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Impact_PC1
300.0,Jan Vesely,23.0,2TM,PF,54.0,1.0,776.0,12.7,0.498,0.0,0.324,11.7,16.1,13.9,4.0,3.4,3.5,15.4,13.2,0.2,1.4,1.6,0.097,-3.3,2.2,-1.1,0.2,,2013-14,2013-14,WAS,5,25.2,11.6,5.0,8.6,0.581,0.0,0.2,0.0,1.6,2.4,0.667,3.2,3.6,6.8,1.6,1.8,1.6,3.2,3.8,0.7097648272417242
308.0,Joel Freeland,26.0,POR,C,52.0,0.0,727.0,11.3,0.498,0.012,0.179,13.2,17.6,15.4,7.1,0.7,2.1,15.5,12.4,0.7,0.7,1.4,0.092,-2.6,0.0,-2.6,-0.1,,2013-14,2013-14,POR,5,17.9,5.0,2.2,5.2,0.423,0.0,0.0,0.0,0.6,1.6,0.375,2.6,3.0,5.6,0.4,0.0,1.0,1.6,3.4,0.4439732336726482
309.0,Darius Miller,23.0,NOP,SF,45.0,7.0,723.0,9.0,0.55,0.464,0.217,1.4,7.0,4.2,8.7,1.7,1.0,10.8,12.8,0.6,0.2,0.8,0.055,-2.8,0.0,-2.8,-0.1,,2013-14,2013-14,NOP,5,29.7,13.8,5.0,11.2,0.446,1.8,4.6,0.391,2.0,2.4,0.833,0.2,2.6,2.8,1.4,0.4,0.4,1.2,3.0,0.0898454181274246
312.0,Jeff Withey,23.0,NOP,C,58.0,4.0,684.0,15.2,0.59,0.008,0.566,8.2,17.4,12.7,5.6,1.1,6.1,11.0,12.0,1.2,0.6,1.8,0.128,-0.5,0.7,0.2,0.4,,2013-14,2013-14,NOP,4,18.0,4.0,1.5,3.3,0.462,0.0,0.0,0.0,1.0,1.5,0.667,1.5,3.5,5.0,0.0,0.3,1.5,1.0,1.5,1.1544318528923008
316.0,Robbie Hummel,24.0,MIN,SF,53.0,5.0,655.0,9.6,0.492,0.503,0.09,5.7,16.6,11.0,5.0,1.2,0.2,5.2,12.6,0.6,0.6,1.1,0.084,-1.6,-0.4,-2.0,0.0,,2013-14,2013-14,MIN,5,21.3,8.6,3.2,6.8,0.471,0.6,1.8,0.333,1.6,2.6,0.615,1.2,4.6,5.8,0.6,0.6,0.2,2.2,3.0,0.3382528599575114
320.0,Dennis Schroder,20.0,ATL,PG,49.0,0.0,641.0,5.8,0.442,0.223,0.229,0.9,9.9,5.4,22.0,1.3,0.0,22.8,19.0,-1.1,0.4,-0.7,-0.054,-5.7,-1.6,-7.3,-0.9,,2013-14,2013-14,ATL,5,31.7,10.8,3.4,10.0,0.34,1.4,4.8,0.292,2.6,3.0,0.867,0.4,1.4,1.8,5.6,1.6,0.0,3.4,4.6,-1.0529425563320245
328.0,Brandon Davies,22.0,PHI,PF,51.0,0.0,575.0,7.5,0.476,0.078,0.414,6.9,13.9,10.2,7.1,2.0,1.1,18.8,13.7,-0.3,0.4,0.1,0.008,-5.7,-0.6,-6.3,-0.6,,2013-14,2013-14,LAC,5,15.9,5.8,2.4,5.8,0.414,0.2,1.0,0.2,0.8,0.8,1.0,1.6,2.4,4.0,1.0,0.6,0.8,1.6,2.0,-0.5571484419524373
332.0,Archie Goodwin,19.0,PHO,SG,52.0,0.0,533.0,10.3,0.507,0.216,0.329,5.3,13.0,9.2,5.7,1.9,1.6,18.7,19.4,-0.3,0.5,0.2,0.018,-3.1,-0.1,-3.2,-0.2,,2013-14,2013-14,PHX,7,24.5,13.1,3.7,7.4,0.5,1.1,2.0,0.571,4.6,6.9,0.667,0.7,2.6,3.3,0.9,0.4,0.4,2.9,2.9,-0.0162470740390843
338.0,Nando De Colo,26.0,2TM,SF,47.0,3.0,494.0,13.1,0.526,0.346,0.229,3.3,13.3,8.4,19.7,2.3,0.9,17.2,18.6,0.3,0.7,1.0,0.1,-1.1,1.3,0.2,0.3,,2013-14,2013-14,SAS,4,31.7,11.3,4.0,11.8,0.34,1.0,4.5,0.222,2.3,2.5,0.9,0.3,2.3,2.5,4.0,1.8,0.0,3.3,4.3,0.8739193005481917
339.0,Aron Baynes,27.0,SAS,C,53.0,4.0,491.0,9.7,0.467,0.0,0.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,-0.1,0.6,0.6,0.055,-4.7,-1.0,-5.7,-0.5,,2013-14,2013-14,SAS,4,26.3,12.0,5.5,11.8,0.468,0.0,0.0,0.0,1.0,2.3,0.444,4.3,6.3,10.5,0.3,0.3,1.3,2.8,4.0,-0.1285289967282867
