Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season
Brian Roberts,NOP,5,31.6,14.2,5.6,13.8,0.406,0.8,2.8,0.286,2.2,2.4,0.917,0.6,2.4,3.0,2.6,1.4,0.0,1.6,3.4,2013-14
Quincy Acy,TOR,5,27.6,14.0,5.2,10.4,0.5,0.4,2.2,0.182,3.2,4.6,0.696,1.6,4.6,6.2,1.0,1.2,0.6,4.0,5.4,2013-14
Elijah Millsap,SEL,5,24.4,13.8,3.2,9.0,0.356,0.0,1.4,0.0,7.4,10.2,0.725,1.4,3.6,5.0,2.0,1.6,0.0,2.8,2.8,2013-14
Darius Miller,NOP,5,29.7,13.8,5.0,11.2,0.446,1.8,4.6,0.391,2.0,2.4,0.833,0.2,2.6,2.8,1.4,0.4,0.4,1.2,3.0,2013-14
Markieff Morris,PHX,7,22.9,13.6,5.1,9.9,0.522,0.6,2.3,0.25,2.7,3.0,0.905,1.4,5.0,6.4,1.7,1.1,1.1,2.4,4.7,2013-14
Justin Dentmon,DAL,6,17.9,13.3,4.3,9.5,0.456,1.2,3.0,0.389,3.5,4.2,0.84,0.5,1.7,2.2,1.3,1.0,0.0,1.8,3.2,2013-14
Jae Crowder,DAL,5,27.0,13.2,5.0,11.6,0.431,0.6,3.8,0.158,2.6,4.2,0.619,0.6,3.6,4.2,2.2,2.2,0.8,2.8,4.2,2013-14
Archie Goodwin,PHX,7,24.5,13.1,3.7,7.4,0.5,1.1,2.0,0.571,4.6,6.9,0.667,0.7,2.6,3.3,0.9,0.4,0.4,2.9,2.9,2013-14
James Nunnally,MIA,7,19.6,13.0,4.3,7.4,0.577,2.4,3.9,0.63,2.0,2.4,0.824,0.3,2.4,2.7,1.3,0.3,0.0,1.1,1.7,2013-14
Stefhon Hannah,SEL,5,21.5,13.0,4.2,8.6,0.488,1.6,4.4,0.364,3.0,3.6,0.833,0.2,1.8,2.0,2.6,1.4,0.0,2.6,3.0,2013-14
Jeremy Tyler,NYK,5,17.7,12.8,5.4,9.6,0.563,0.0,0.0,0.0,2.0,3.2,0.625,2.6,3.8,6.4,0.4,0.2,0.4,2.4,3.2,2013-14
Jermaine Taylor,CLE,5,18.1,12.8,4.0,9.0,0.444,1.4,3.4,0.412,3.4,4.2,0.81,1.0,1.4,2.4,1.6,1.2,0.0,1.4,2.2,2013-14
James Ennis,MIA,7,23.8,12.7,4.0,9.0,0.444,1.7,4.0,0.429,3.0,4.3,0.7,1.7,3.0,4.7,0.9,1.4,0.1,2.0,2.0,2013-14
Draymond Green,GOS,7,30.1,12.7,4.0,12.9,0.311,0.9,4.1,0.207,3.9,4.9,0.794,1.3,6.1,7.4,1.9,2.0,0.9,3.0,4.4,2013-14
Ray McCallum,SAC,5,30.2,12.6,3.8,10.0,0.38,0.0,0.4,0.0,5.0,7.4,0.676,0.8,3.4,4.2,4.0,2.2,0.4,2.4,3.8,2013-14
Terrence Ross,TOR,5,24.9,12.6,4.4,10.4,0.423,0.6,2.6,0.231,3.2,3.6,0.889,0.8,4.0,4.8,0.8,1.4,0.2,3.4,3.0,2013-14
Ian Clark,GOS,7,21.5,12.4,4.6,9.6,0.478,2.3,4.7,0.485,1.0,1.4,0.7,0.3,1.6,1.9,1.4,1.1,0.0,1.0,1.9,2013-14
Deshaun Thomas,SAS,5,28.6,12.4,4.8,11.6,0.414,1.2,3.2,0.375,1.6,1.8,0.889,1.4,3.6,5.0,1.2,0.4,0.2,1.4,2.6,2013-14
Lester Hudson,LAL,5,24.1,12.2,4.4,9.0,0.489,2.4,5.2,0.462,1.0,1.4,0.714,1.0,3.8,4.8,3.2,1.6,0.2,1.8,3.0,2013-14
Tony Wroten,MEM,6,31.6,12.2,3.3,13.2,0.253,0.8,5.0,0.167,4.7,7.5,0.622,1.3,2.0,3.3,3.5,1.5,0.3,3.8,2.5,2013-14
Aron Baynes,SAS,4,26.3,12.0,5.5,11.8,0.468,0.0,0.0,0.0,1.0,2.3,0.444,4.3,6.3,10.5,0.3,0.3,1.3,2.8,4.0,2013-14
P.J. Tucker,PHX,7,22.6,11.9,4.7,8.6,0.55,0.3,1.1,0.25,2.1,2.9,0.75,1.7,4.1,5.9,1.1,1.4,0.1,1.3,2.4,2013-14
Tony Snell,CHI,5,34.5,11.8,3.6,9.8,0.367,1.6,4.6,0.348,3.0,3.4,0.882,1.6,5.0,6.6,2.2,1.2,0.4,0.8,1.6,2013-14
